Beacon 1,Beacon 2,Beacon 3,Beacon 4,Bin
43.81818182,68.1,84.5,60,1
46.90909091,75.81818182,82.3,60.66666667,1
43.25,69.66666667,82,49.08333333,1
47.36363636,74.81818182,84.3,60.75,1
54.76923077,79.07692308,83,58.76923077,1
48.61538462,75.76923077,82.1,58.23076923,2
51.36363636,76.5,83.8,55.09090909,2
45.2,77.3,83,58.7,2
52.27272727,80.5,82.5,54.27272727,2
48.125,77.375,84.8,56.125,2
53.09090909,81.18181818,82.8,52.81818182,3
57.33333333,80.6,82.27272727,57.33333333,3
54,72.8,81.7,57.6,3
50.45454545,77.90909091,82.5,58.45454545,3
49.3,80.3,83.2,55.8,3
52.81818182,83.3,80.3,55.45454545,4
56.23076923,82.58333333,82.4,50.76923077,4
48.6,81,81.4,53.6,4
56.9375,83.3,81,50.125,4
51.1,80.4,82,58.1,4
58.9,83.3,79.6,50,5
60.3,82.1,76.8,51.4,5
55.3,81.3,80.3,49.1,5
59.8,83.6,72.1,44.5,5
53.1,81.8,75.1,51.9,5
54.75,83.5,74.91666667,45.58333333,6
58.75,83.7,73.45454545,44.33333333,6
61,80.9,73.09090909,50,6
60.53846154,82.6,74.53846154,52.61538462,6
61.08333333,81.8,73.72727273,52.25,6
59.8,82.8,74.7,38.7,7
64.23076923,82.4,73.69230769,53.92307692,7
60.8,84,70.1,47.5,7
66.25,81.2,73.54545455,53.25,7
65.25,84.2,68.5,57.33333333,7
62.3,84.1,70,59,7
59.8,82.7,73.5,45.1,7
67.63636364,82.6,70.27272727,51.27272727,8
69.1,82.2,69.6,59.7,8
72.5,82.5,68.6,51.5,8
69.33333333,82.2,69.5,58,8
75.90909091,81.09090909,58,59.63636364,8
75.6,77.7,64.3,67.6,8
73.9,81.4,72.1,64.4,8
74.8,78.5,65.2,59.8,9
75.3,80.7,66.6,66.7,9
71.6,77.7,59.9,67,9
76.3,80.1,69.9,57.1,9
74.7,75.1,62.5,57.9,9
76.9,75.2,58.3,66.7,9
81.2,73.9,57.5,66.9,9
80.4,74,54.4,68.5,10
80.3,69.1,56.1,64.2,10
80.2,69.5,58.4,59.7,10
77.6,66.8,53.6,66.1,10
75.5,66.2,51.3,63.8,10
77.6,62.7,41.8,61.8,10
76.1,62.7,46.6,69.6,11
78.5,67,44.8,65.5,11
76.9,54.9,55.9,70.6,11
80.4,63.8,38.8,71.8,11
79.6,54.7,43.3,66.2,11
78.3,61.9,51.9,65,11
82.1,56.9,47.1,75.7,12
81.7,57.45454545,54,75.54545455,12
81,55.8,51.9,76.8,12
83.2,59.4,45.5,76.5,12
80.9,54.9,48.5,70.3,12
82.3,60.4,46.9,74.9,12
81.5,60.6,50.5,79.6,13
81.45454545,61.36363636,58.09090909,81.9,13
80,57.5,52.1,81.7,13
79.9,53,56.8,82.1,13
81.8,53.09090909,52,80.27272727,13
78.2,63.1,63.2,81.4,14
79.9,61.6,70.5,77,14
77.5,66.4,65.6,78.5,14
82.5,65.63636364,59.9,81.36363636,14
81.2,58.18181818,61.8,82.6,14
77.4,56.41666667,63.45454545,82.18181818,15
82.3,58.1,61.5,81.7,15
79.8,56.63636364,60.1,81.81818182,15
82.5,61.4,57.3,80.9,15
81.4,56.3,60.3,81.8,15
82.3,51.9,54.4,83,16
80.7,53.1,54.2,80.9,16
79.9,57.9,57.3,81.6,16
81.1,52.53846154,54.81818182,83.5,16
76.3,53.5,53.5,80.2,16
79.3,52.9,56,80.6,17
78.2,51.09090909,58.6,82.27272727,17
75.4,48.7,59.2,81.9,17
79.1,50.9,56.8,82.5,17
76.8,50.6,61.2,82.2,17
70.1,46.8,62,77.8,18
69.5,44.90909091,66,81.9,18
76.5,43.5,65.63636364,82.8,18
71.4,50.6,64.3,81.4,18
75.3,47,56,79,18
72.1,43.90909091,60.36363636,83.7,18
72.41666667,47.41666667,67.63636364,81.8,19
71.9,39.72727273,71.5,82.7,19
70.5,46.2,70.8,74.6,19
65.6,50.8,69.4,78.9,19
62.5,53.6,70.3,76.1,19
74.7,52.6,69.7,82.4,19
64.5,49,74.6,81.2,19
66.63636364,58.09090909,73.9,77.9,20
61.2,62.3,73.4,77.8,20
65.6,57.8,73.2,78.2,20
60.8,60.3,76.4,72,20
65.9,65.1,77.8,73.8,20
60.4,60.6,75.1,71.5,20
57.4,64.1,78.7,72.3,21
59.18181818,63.63636364,78.1,74,21
66,67.45454545,76.5,73,21
55.7,67.5,79,70,21
58.72727273,64.90909091,81.2,72,21
57.36363636,66.81818182,83.5,66.90909091,21
56.2,63.6,81.5,68.8,21
58,70.1,83.5,65.6,22
56.90909091,69.36363636,82.7,66.18181818,22
55.46153846,76.66666667,83.8,61.61538462,22
50.3,67.6,81.4,60.7,22
52.1,71.2,81.5,57.2,22
49.3,70,82.3,57.2,22
39.36363636,75.90909091,81.8,57.18181818,22
44.63636364,72.63636364,82.9,57.54545455,22
45,76.90909091,82.2,55.66666667,22
